	token	label	distance
2078	typ	38	0.0
170	Gewehr	27	0.2637013792991638
454	Stab	27	0.2637013792991638
444	Silberkugel	27	0.2637013792991638
1881	schwertklinge	27	0.2637013792991638
515	Waffe	27	0.2637013792991638
265	Kruzifix	27	0.2637013792991638
262	Kreuz	27	0.2637013792991638
1880	schwertes	27	0.2637013792991638
531	Würfel	27	0.2637013792991638
896	eisenkreuz	27	0.2637013792991638
84	Dolch	27	0.2637013792991638
79	Degen	27	0.2637013792991638
2201	weißmagische	27	0.2637013792991638
244	Kelch	27	0.2637013792991638
429	Schwert	27	0.2637013792991638
869	dämonenpeitsche	27	0.2637013792991638
61	Buddha	27	0.2637013792991638
1908	silber	27	0.2637013792991638
1912	silberkugeln	27	0.2637013792991638
274	Lanze	27	0.2637013792991638
148	Gegenstand	27	0.2637013792991638
1911	silberkreuz	27	0.2637013792991638
1909	silberdolch	27	0.2637013792991638
1910	silbergeschoss	27	0.2637013792991638
322	Messerklinge	27	0.2637013792991638
321	Messer	27	0.2637013792991638
365	Pistole	27	0.2637013792991638
8	Amulett	27	0.2637013792991638
338	Mündung	27	0.2637013792991638
1316	jessi	39	0.4471701383590698
1639	nele	39	0.4471701383590698
2324	ähm	39	0.4471701383590698
354	Okay	39	0.4471701383590698
1231	hi	39	0.4471701383590698
1638	nein	39	0.4471701383590698
694	bittl	39	0.4471701383590698
1162	ha	39	0.4471701383590698
1595	mpi	39	0.4471701383590698
1655	nu	39	0.4471701383590698
1573	mer	39	0.4471701383590698
556	aha	39	0.4471701383590698
1574	merci	39	0.4471701383590698
1727	privatdetektivin	15	0.6375975012779236
219	Ignatius	15	0.6375975012779236
1945	staatsanwältin	15	0.6375975012779236
138	Frantisek	15	0.6375975012779236
1664	oberkommissar	15	0.6375975012779236
1210	hempshaw	15	0.6375975012779236
763	chinesin	15	0.6375975012779236
1396	kommissar	15	0.6375975012779236
1397	kommissars	15	0.6375975012779236
525	Wladimir	15	0.6375975012779236
1662	oberinspektor	15	0.6375975012779236
201	Hazel	15	0.6375975012779236
438	Sheila	15	0.6375975012779236
474	Templer	15	0.6375975012779236
226	Jane	15	0.6375975012779236
816	detektivin	15	0.6375975012779236
177	Godwin	15	0.6375975012779236
